Time,Air Temp,Track Temp,Humidity,Pressure,Wind Speed
0,68.39996,87.00008000000001,38,30.047172051,1.9
20,68.39996,87.00008000000001,38,30.047172051,1.9
40,68.39996,87.00008000000001,38,30.047172051,1.9
60,68.30006,87.99998000000001,38,30.049239158000002,1.9
80,68.30006,87.99998000000001,38,30.049239158000002,1.9
100,68.30006,87.99998000000001,38,30.049239158000002,1.9
120,68.30006,89.00005999999999,38,30.045990847,1.3
140,68.30006,89.00005999999999,38,30.045990847,1.3
160,68.30006,89.00005999999999,38,30.045990847,1.3
180,68.30006,89.99996,38,30.045990847,1.9
200,68.30006,89.99996,38,30.045990847,1.9
220,68.30006,89.99996,38,30.045990847,1.9
240,68.39996,91.00004,37,30.048057954,2.6
260,68.39996,91.00004,37,30.048057954,2.6
280,68.39996,91.00004,37,30.048057954,2.6
300,68.39996,91.00004,37,30.047172051,0.6
320,68.39996,91.00004,37,30.047172051,0.6
340,68.39996,91.00004,37,30.047172051,0.6
360,68.39996,91.00004,37,30.045104944000002,1.3
380,68.39996,91.00004,37,30.045104944000002,1.3
400,68.39996,91.00004,37,30.045104944000002,1.3
420,68.39996,91.99994000000001,37,30.045104944000002,0.0
440,68.39996,91.99994000000001,37,30.045104944000002,0.0
460,68.39996,91.99994000000001,37,30.045104944000002,0.0
480,68.50004,93.00001999999999,37,30.045104944000002,0.6
500,68.50004,93.00001999999999,37,30.045104944000002,0.6
520,68.50004,93.00001999999999,37,30.045104944000002,0.6
540,68.39996,93.00001999999999,37,30.043037836999996,3.2
560,68.39996,93.00001999999999,37,30.043037836999996,3.2
580,68.39996,93.00001999999999,37,30.043037836999996,3.2
600,68.50004,93.00001999999999,37,30.044219040999998,4.6
620,68.50004,93.00001999999999,37,30.044219040999998,4.6
640,68.50004,93.00001999999999,37,30.044219040999998,4.6
660,68.39996,91.99994000000001,37,30.041266031,1.3
680,68.39996,91.99994000000001,37,30.041266031,1.3
700,68.39996,91.99994000000001,37,30.041266031,1.3
720,68.39996,93.00001999999999,37,30.043037836999996,3.2
740,68.39996,93.00001999999999,37,30.043037836999996,3.2
760,68.39996,93.00001999999999,37,30.043037836999996,3.2
780,68.50004,93.00001999999999,37,30.042151934,4.6
800,68.50004,93.00001999999999,37,30.042151934,4.6
820,68.50004,93.00001999999999,37,30.042151934,4.6
840,68.30006,91.99994000000001,37,30.042151934,0.6
860,68.30006,91.99994000000001,37,30.042151934,0.6
880,68.30006,91.99994000000001,37,30.042151934,0.6
900,68.19998000000001,91.99994000000001,37,30.042151934,1.9
920,68.19998000000001,91.99994000000001,37,30.042151934,1.9
940,68.19998000000001,91.99994000000001,37,30.042151934,1.9
960,68.10008,93.00001999999999,37,30.040084826999998,0.6
980,68.10008,93.00001999999999,37,30.040084826999998,0.6
1000,68.10008,93.00001999999999,37,30.040084826999998,0.6
1020,68.10008,93.99991999999999,38,30.040084826999998,1.3
